content,label,path
lufthansa fly back to profit german airline lufthansa have return to profit in two thousand and four after post huge loss in two thousand and three in preliminary report the airline announce net profit of four hundred euro dollar five hundred and twenty seven point six one pound sterle two hundred and seventy four point seven three compare with loss of nine hundred and eighty four euro in two thousand and three operating profit be at three hundred and eighty euro ten time more than in two thousand and three lufthansa be hit in two thousand and three by tough competition and dip in demand follow the iraq war and the killer [UNK] virus it be also hit by trouble at its us [UNK] business last year lufthansa show sign of recovery even as some european and we airline be [UNK] on the [UNK] of bankruptcy the board of lufthansa have recommend pay two thousand and four dividend of zero point three euro per share in two thousand and three shareholder do not get dividend the company say that it will give all the detail of its two thousand and four result,business,../data\business\business_1.txt
winn dixie file for bankruptcy us supermarket group winn dixie have file for bankruptcy protection after succumb to stiff competition in market dominate by wal mart winn dixie once among the most profitable of we [UNK] say chapter eleven protection would enable it to successfully [UNK] it say its nine hundred and twenty store would remain open but analyst say it would most likely off load number of site the [UNK] florida base firm have total debt of dollar [UNK] pound sterling nine hundred and eighty in its bankruptcy [UNK] it list its big [UNK] as we food giant [UNK] food which it owe dollar fifteen point one m. analyst say winn dixie have not keep up with consumer demand and have also be burden by number of store in need of upgrade ten month restructuring plan be deem failure and follow large than expect quarterly loss early this month winn dixie 's slide into bankruptcy be widely expect the company 's new chief executive peter lynch say winn dixie would use the chapter eleven [UNK] space to take the necessary action to turn itself around this include achieve significant cost reduction improve the [UNK] and customer service in all location and generate sense of excitement in the store he say yet [UNK] [UNK] senior bond analyst at gimme credit say mr lynch 's job would not be easy as the bankruptcy would inevitably put off some customer the real big issue be what be go to happen over the next one or two quarter now that they be in bankruptcy and all their customer see this in their,business,../data\business\business_10.txt
we economy still grow say feed most area of the us see their economy continue to expand in december and early january the us federal reserve say in its late [UNK] book report of the twelve us region it identify for the study eleven show strong economic growth with only the cleveland area fall behind with mixed rating consumer spending be high in december than november and festive sale be also up on two thousand and three the employment picture also improve the fed say labour market firm in number of district but wage pressure generally remain modest the [UNK] book say several district report high price for build material and manufacturing input but most report steady or only slightly high overall price level the report add that residential real estate activity remain strong and that commercial real estate activity strengthen in most district office [UNK] be especially [UNK] in washington dc and new york city two of the nation 's strong commercial,business,../data\business\business_100.txt
saab to build cadillac in sweden general motor the world 's large car maker have confirm that it will build new medium sized cadillac [UNK] at its loss make saab factory in sweden the car unveil at the geneva motor show be intend to compete in the medium sized luxury car market it will not be sell in the us say gm europe president carl peter [UNK] as part of its effort to make the us marque appeal to european driver the car will be the first cadillac with diesel engine gm 's announcement should go some way to [UNK] fear of the saab factory 's [UNK] the factory in [UNK] have be at the centre of rumour about gm 's plan severe cutback in its troubled european operation but the group 's new commitment to the swedish factory may not be welcome by the group 's opel worker in [UNK] germany they may now have to face large proportion of gm 's cut neither will the announcement be see as [UNK] good news in sweden since it reflect saab 's failure to make significant [UNK] into the lucrative european luxury car market for year saab have consistently say it be compete head on with bmw mercede and [UNK] the segment 's leader do not agree gm 's plan to build the american marque in sweden be part of its effort to push it as an alternative luxury brand for european driver in the us it have long be establish as an [UNK] brand even the presidential [UNK] carry the [UNK] yet it could prove tough for cadillac to steal market share from the major in europe other luxury car maker most notably the toyota subsidiary [UNK] have enjoy tremendous success in the us without manage to make significant [UNK] in europe there german marque mercede benz and bmw have retain their [UNK] on the luxury market bring cadillac production to sweden should help introduce desperately need scale to the saab factory which currently produce few than one hundred and thirty thousand car per year that be about half of what major car maker consider sufficient number for profitable operation and saab be lose money fast albeit with loss halve in two thousand and four to dollar two hundred pound sterling one hundred and four one hundred and fifty one euro from dollar five hundred the previous year beyond the twelve thousand job cut announce last year at its european operation gm be reduce expenditure by build saab opel [UNK] as vauxhall in the uk and now cadillac on the same framework and by allow the different brand to share part another way to far reduce saab 's loss could be to shift some of the production of saab to the us market where driver have adopt it as an [UNK] european car do so would remove the exposure to the weak us dollar which be make saab more expensive to we consumer but not everyone in the industry agree that it would be the good way forward we know that in five year the us dollar will be strong than it be today the chief executive of lead european car maker tell bbc news the current trend towards we production be stupid he say in separate announcement gm unveil new scheme to allow european consumer the chance to test drive its opel and vauxhall model it be to deploy fleet of thirty five thousand test car across forty country invite potential buyer to try out vehicle for twenty four hour it follow similar initiative by gm in the us gm say it want to change customer perception about opel and vauxhall car show they that the quality have,business,../data\business\business_11.txt
bank vote eight one for no rate change the decision to keep interest rate on hold at four point seven five percentage early this month be pass eight one by the bank of england 's rate set body minute have show one member of the bank 's monetary policy committee mpc paul [UNK] vote to raise rate to five percentage the news surprise some analyst who have expect the late minute to show another unanimous decision worry over growth rate and consumer spending be behind the decision to freeze rate the minute show the bank 's late inflation report release last week have note that the main reason inflation might fall be weak consumer spending however mpc member paul [UNK] vote for quarter point rise in interest rate to five percentage he argue that economic growth be pick up and that the equity credit and housing market have be strong than expect the bank 's minute say that risk to the inflation forecast be sufficiently to the downside to keep rate on hold at its late meeting however the minute add some member note that an increase might be warrant in due course if the economy evolve in line with the central projection ross walker uk economist at royal bank of scotland say he be surprised that [UNK] vote have be make so soon he say the minute appear to be try to get the market to focus on the possibility of rise in rate if the economy pan out as they expect then they be probably go to have to hike rate however he add any rate increase be not likely to happen until later this year with mpc member likely to look for more sustainable pick up in,business,../data\business\business_12.txt
industrial revival hope for japan japanese industry be grow fast than expect boost hope that the country 's retreat back into recession be over industrial output rise two point one percentage adjust for the time of year in january from month early at the same time retail sale pick up fast than at any time since nineteen ninety seven the news send tokyo share to an eight month high as investor hope for recovery from the three quarter of [UNK] see from april two thousand and four on the nikkei two hundred and twenty five index end the day up zero point seven percentage at [UNK] point with the yen strengthen zero point seven percentage against the dollar to one hundred and four point five three yen weak export normally the engine for japan 's economy in the face of weak domestic demand have help trigger zero point one percentage [UNK] in the final three month of last year after two previous quarter of shrink gdp only an exceptionally strong performance in the early month of two thousand and four keep the year as whole from show decline the output figure bring cautiously optimistic response from economic official overall see low risk of the economy fall into serious recession say bank of japan chief [UNK] [UNK] despite warn that other indicator such as the growth number have be worry within the overall industrial output figure there be sign of [UNK] from the export slowdown among the good perform sector be key overseas sale area such as car chemical and electronic good with we growth do well than expect the picture for export in early two thousand and five could also be one of sustained demand electronic be also one of the key to the improve domestic market with product such as flat screen tv in,business,../data\business\business_13.txt
khodorkovsky ally deny charge close associate of former yukos boss [UNK] khodorkovsky have tell court that fraud charge level against he be false [UNK] lebedev have be on trial alongside mr khodorkovsky since june in case centre around the [UNK] of [UNK] firm the pair claim they be be punish by the authority for the political ambition of mr khodorkovsky mr lebedev say there be absurd [UNK] in the case open his defence he say he could not see the legal basis of the charge he face which also include allegation of tax evasion to my [UNK] could not understand the file of complaint against he tell moscow court mr lebedev head the [UNK] group the parent company of yukos mr lebedev and mr khodorkovsky who each face possible ten year jail sentence if convict will be question by judge over the next few day mr khodorkovsky begin his [UNK] last week tell the court that he object to the way that the running of normal business have be present as work of criminal fiction the charge be see by supporter as politically motivated and part of drive by russian president vladimir [UNK] to rein in the country 's super rich business leader the so call [UNK] yukos have be present with dollar [UNK] pound sterling [UNK] tax demand by the russian authority and its key yugansk division be auction off to part settle the bill the company 's effort to gain bankruptcy protection in the us in bid to win damage for the sale be dismiss,business,../data\business\business_14.txt
china keep tight rein on credit china 's effort to stop the economy from overheat by clamp down on credit will continue into two thousand and five state medium report the curb be introduce early this year to ward off the risk that rapid expansion might lead to soar price there be also fear that too much stress might be place on the [UNK] banking system growth in china remain at breakneck nine point one percentage and corporate investment be grow at more than twenty five percentage year the breakneck pace of economic expansion have keep growth above nine percentage for more than year rapid [UNK] up of china 's manufacturing sector mean massive demand for energy one of the factor which have keep world oil price sky high for most of this year in theory the government have seven percentage growth target but continue to insist that the [UNK] do not mean hard landing in the shape of an [UNK] economy low exchange rate china 's yuan be peg to rate of eight point two eight to the dollar which seem to be in relentless decline mean chinese export be cheap on world market china have thus far resist international pressure to break the link or at least to shift the level of its peg to some extent the credit control do seem to be take effect industrial output grow fifteen point seven percentage in the year to october down from twenty three percentage in february and inflation slow to four point three percentage although retail,business,../data\business\business_15.txt
verizon seal takeover of mci verizon have win takeover battle for we phone firm mci with bid worth dollar [UNK] pound sterling [UNK] report say the two firm be expect to seal the deal on monday morning accord to news agency report despite what be think to be high bid from [UNK] the us telecom market be consolidate fast with former long distance giant at&t be buy by former subsidiary sbc early this year for dollar [UNK] mci exit bankruptcy in april having go bust under previous name worldcom the bankruptcy follow its admission in two thousand and two that it illegally book expense and [UNK] profit shareholder lose about dollar [UNK] when the company collapse while twenty thousand worker lose their job former worldcom boss [UNK] ebber be currently on trial accuse of [UNK] an dollar [UNK] fraud [UNK] have itself come under suspicion of sub standard behaviour pay the security and exchange commission dollar two hundred and fifty in october to settle charge that it manipulate its result to keep wall street happy mci be the us 's second big long distance firm after at&t consolidation in the us telecommunication industry have pick up in the past few month as company look to cut cost and boost client basis merger between mci and verizon would be the fifth billion dollar telecom deal since october last week sbc communication agree to buy its former parent and phone trailblazer at&t for about dollar [UNK] [UNK] mci would give either [UNK] or verizon access to mci 's global network and business base subscriber the [UNK] be similar to the one [UNK] sbc 's at&t deal verizon be by far the big company and have its own successful mobile arm factor which may have [UNK] the board in its favour since both suitor be offer mixture,business,../data\business\business_16.txt
crossrail link to get go ahead the pound sterling 10bn crossrail transport plan back by business group be to get the go ahead this month accord to the mail on sunday it say the uk treasury have allocate pound sterling 7.5bn dollar [UNK] for the project and that talk with business group on raise the rest will begin shortly the much delay crossrail link bill would provide for fast cross london rail link the paper say it will go before the house of common on twenty three february second reading could follow on sixteen or seventeen march we ve always say we be go to introduce hybrid bill for crossrail in the spring and this remain the case the department for transport say on sunday jeremy de [UNK] spokesman for crossrail say on sunday he could not confirm whether the treasury be plan to invest pound sterling 7.5bn or when the bill would go before parliament however he say some impetus may have be provide by the proximity of an election the new line would go out as far as [UNK] [UNK] to the west of london and link [UNK] to [UNK] [UNK] via the city [UNK] to the city would take forty minute dramatically cut journey time for business [UNK] and reduce [UNK] on the tube the line have the support of the mayor of london ken livingstone business group and the government but there have be three year of argument over how it should be fund the mail on sunday 's financial mail say the pound sterling 7.5bn of treasury money be earmark for spend in pound sterling 2.5bn instalment in twenty ten twenty,business,../data\business\business_17.txt
